Entry,Entry name,Protein names,Gene names,Organism,Length,Mass,Tissue specificity,Cofactor,Function [CC],Subcellular location [CC],Pathway
Q08477,CP4F3_HUMAN,Cytochrome P450 4F3 (EC 1.14.14.1) (20-hydroxyeicosatetraenoic acid synthase) (20-HETE synthase) (CYPIVF3) (Cytochrome P450-LTB-omega) (Docosahexaenoic acid omega-hydroxylase CYP4F3) (EC 1.14.14.79) (Leukotriene-B(4) 20-monooxygenase 2) (Leukotriene-B(4) omega-hydroxylase 2) (EC 1.14.14.94),CYP4F3 LTB4H,Homo sapiens (Human),520,"59,847","TISSUE SPECIFICITY: [Isoform CYP4F3A]: Selectively expressed in blood neutrophils and bone marrow cells. Coexpressed with CYP4F3B in prostate, ileum and trachea. {ECO:0000269|PubMed:11461919}.; TISSUE SPECIFICITY: [Isoform CYP4F3B]: Selectively expressed in liver and kidney. It is also the predominant CYP4F isoform in trachea and tissues of the gastrointestinal tract. {ECO:0000269|PubMed:11461919}.",COFACTOR: Name=heme; Xref=ChEBI:CHEBI:30413; Evidence={ECO:0000250|UniProtKB:P51869}; ,"FUNCTION: A cytochrome P450 monooxygenase involved in the metabolism of various endogenous substrates, including fatty acids and their oxygenated derivatives (oxylipins) (PubMed:8486631, PubMed:9675028, PubMed:11461919, PubMed:15145985, PubMed:16547005, PubMed:16820285, PubMed:18182499, PubMed:18065749, PubMed:18577768). Mechanistically, uses molecular oxygen inserting one oxygen atom into a substrate, and reducing the second into a water molecule, with two electrons provided by NADPH via cytochrome P450 reductase (CPR; NADPH-ferrihemoprotein reductase) (PubMed:9675028). May play a role in inactivation of proinflammatory and anti-inflammatory oxylipins during the resolution of inflammation (PubMed:8486631, PubMed:9675028, PubMed:11461919, PubMed:15145985, PubMed:15364545, PubMed:16547005, PubMed:16820285, PubMed:18182499, PubMed:18065749, PubMed:18577768). {ECO:0000269|PubMed:11461919, ECO:0000269|PubMed:15145985, ECO:0000269|PubMed:15364545, ECO:0000269|PubMed:16547005, ECO:0000269|PubMed:16820285, ECO:0000269|PubMed:18065749, ECO:0000269|PubMed:18182499, ECO:0000269|PubMed:18577768, ECO:0000269|PubMed:8486631, ECO:0000269|PubMed:9675028}.; FUNCTION: [Isoform CYP4F3A]: Catalyzes predominantly the oxidation of the terminal carbon (omega-oxidation) of oxylipins in myeloid cells, displaying higher affinity for arachidonate metabolite leukotriene B4 (LTB4) (PubMed:8486631, PubMed:9675028, PubMed:11461919, PubMed:15364545). Inactivates LTB4 via three successive oxidative transformations to 20-hydroxy-LTB4, then to 20-oxo-LTB4 and to 20-carboxy-LTB4 (PubMed:9675028). Has omega-hydroxylase activity toward long-chain fatty acid epoxides with preference for 8,9-epoxy-(5Z,11Z,14Z)-eicosatrienoate (EET) and 9,10-epoxyoctadecanoate (PubMed:15145985). Omega-hydroxylates monohydroxy polyunsaturated fatty acids (PUFAs), including hydroxyeicosatetraenoates (HETEs) and hydroxyeicosapentaenoates (HEPEs), to dihydroxy compounds (PubMed:15364545, PubMed:9675028). Contributes to the degradation of saturated very long-chain fatty acids (VLCFAs) such as docosanoic acid, by catalyzing successive omega-oxidations to the corresponding dicarboxylic acid, thereby initiating chain shortening (PubMed:18182499). Has low hydroxylase activity toward PUFAs (PubMed:18577768, PubMed:11461919). {ECO:0000269|PubMed:11461919, ECO:0000269|PubMed:15145985, ECO:0000269|PubMed:15364545, ECO:0000269|PubMed:18182499, ECO:0000269|PubMed:18577768, ECO:0000269|PubMed:8486631, ECO:0000269|PubMed:9675028}.; FUNCTION: [Isoform CYP4F3B]: Catalyzes predominantly the oxidation of the terminal carbon (omega-oxidation) of polyunsaturated fatty acids (PUFAs) (PubMed:11461919, PubMed:16820285, PubMed:18577768). Participates in the conversion of arachidonic acid to 20-hydroxyeicosatetraenoic acid (20-HETE), a signaling molecule acting both as vasoconstrictive and natriuretic with overall effect on arterial blood pressure (PubMed:11461919, PubMed:16820285, PubMed:18577768). Has high omega-hydroxylase activity toward other PUFAs, including eicosatrienoic acid (ETA), eicosapentaenoic acid (EPA) and docosahexaenoic acid (DHA) (PubMed:16820285, PubMed:18577768). Can also catalyze the oxidation of the penultimate carbon (omega-1 oxidation) of PUFAs with lower efficiency (PubMed:18577768). Contributes to the degradation of saturated very long-chain fatty acids (VLCFAs) such as docosanoic acid and hexacosanoic acid, by catalyzing successive omega-oxidations to the corresponding dicarboxylic acids, thereby initiating chain shortening (PubMed:16547005, PubMed:18182499). Omega-hydroxylates long-chain 3-hydroxy fatty acids, likely initiating the oxidative conversion to the corresponding 3-hydroxydicarboxylic fatty acids (PubMed:18065749). Has omega-hydroxylase activity toward long-chain fatty acid epoxides with preference for 8,9-epoxy-(5Z,11Z,14Z)-eicosatrienoate (EET) and 9,10-epoxyoctadecanoate (PubMed:15145985). {ECO:0000269|PubMed:11461919, ECO:0000269|PubMed:15145985, ECO:0000269|PubMed:16547005, ECO:0000269|PubMed:16820285, ECO:0000269|PubMed:18065749, ECO:0000269|PubMed:18182499, ECO:0000269|PubMed:18577768}.",SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000305|PubMed:10409674}; Single-pass membrane protein {ECO:0000255}. Microsome membrane {ECO:0000305|PubMed:10409674}; Single-pass membrane protein {ECO:0000255}.,PATHWAY: [Isoform CYP4F3A]: Lipid metabolism; leukotriene B4 degradation. {ECO:0000269|PubMed:9675028}.; PATHWAY: Lipid metabolism; arachidonate metabolism. {ECO:0000269|PubMed:11461919}.
Q6VVX0,CP2R1_HUMAN,Vitamin D 25-hydroxylase (EC 1.14.14.24) (Cytochrome P450 2R1),CYP2R1,Homo sapiens (Human),501,"57,359",,COFACTOR: Name=heme; Xref=ChEBI:CHEBI:30413; Evidence={ECO:0000269|PubMed:18511070}; ,"FUNCTION: A cytochrome P450 monooxygenase involved in activation of vitamin D precursors. Catalyzes hydroxylation at C-25 of both forms of vitamin D, vitamin D(2) and D(3) (calciol) (PubMed:12867411, PubMed:15465040, PubMed:18511070). Can metabolize vitamin D analogs/prodrugs 1alpha-hydroxyvitamin D(2) (doxercalciferol) and 1alpha-hydroxyvitamin D(3) (alfacalcidol) forming 25-hydroxy derivatives (PubMed:15465040, PubMed:18511070). Mechanistically, uses molecular oxygen inserting one oxygen atom into a substrate, and reducing the second into a water molecule, with two electrons provided by NADPH via cytochrome P450 reductase (CPR; NADPH-ferrihemoprotein reductase) (PubMed:12867411, PubMed:15465040, PubMed:18511070). {ECO:0000269|PubMed:12867411, ECO:0000269|PubMed:15465040, ECO:0000269|PubMed:18511070}.",SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000305|PubMed:15465040}; Peripheral membrane protein. Microsome membrane {ECO:0000305|PubMed:15465040}; Peripheral membrane protein.,"PATHWAY: Hormone biosynthesis; vitamin D biosynthesis. {ECO:0000305|PubMed:15465040, ECO:0000305|PubMed:18511070}."
Q9UNP9,PPIE_HUMAN,Peptidyl-prolyl cis-trans isomerase E (PPIase E) (EC 5.2.1.8) (Cyclophilin E) (Cyclophilin-33) (Rotamase E),PPIE CYP33,Homo sapiens (Human),301,"33,431","TISSUE SPECIFICITY: Found in all the examined tissues including heart, brain, placenta, lung, liver, skeletal muscle, kidney and pancreas.",,"FUNCTION: Involved in pre-mRNA splicing as component of the spliceosome (PubMed:11991638, PubMed:28076346). Combines RNA-binding and PPIase activities (PubMed:8977107, PubMed:18258190, PubMed:20677832, PubMed:20460131). Binds mRNA and has a preference for single-stranded RNA molecules with poly-A and poly-U stretches, suggesting it binds to the poly(A)-region in the 3'-UTR of mRNA molecules (PubMed:8977107, PubMed:18258190, PubMed:20460131). Catalyzes the cis-trans isomerization of proline imidic peptide bonds in proteins (PubMed:8977107, PubMed:18258190, PubMed:20677832, PubMed:20541251). Inhibits KMT2A activity; this requires proline isomerase activity (PubMed:20677832, PubMed:20541251, PubMed:20460131). {ECO:0000269|PubMed:11991638, ECO:0000269|PubMed:18258190, ECO:0000269|PubMed:20460131, ECO:0000269|PubMed:20541251, ECO:0000269|PubMed:20677832, ECO:0000269|PubMed:28076346, ECO:0000269|PubMed:8977107}.","SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:11991638, ECO:0000269|PubMed:25599396, ECO:0000269|PubMed:28076346, ECO:0000269|PubMed:8977107}.",
Q6V0L0,CP26C_HUMAN,Cytochrome P450 26C1 (EC 1.14.-.-),CYP26C1,Homo sapiens (Human),522,"57,111",TISSUE SPECIFICITY: Detected in most tissues at very low level. {ECO:0000269|PubMed:14532297}.,COFACTOR: Name=heme; Xref=ChEBI:CHEBI:30413; Evidence={ECO:0000250}; ,"FUNCTION: Plays a role in retinoic acid metabolism. Acts on retinoids, including all-trans-retinoic acid (RA) and its stereoisomer 9-cis-RA (preferred substrate).",SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass membrane protein {ECO:0000305}.,
Q86W10,CP4Z1_HUMAN,Cytochrome P450 4Z1 (EC 1.14.14.1) (CYPIVZ1) (Laurate 7-monooxygenase) (EC 1.14.14.130),CYP4Z1 UNQ3060/PRO9882,Homo sapiens (Human),505,"59,086","TISSUE SPECIFICITY: Preferentially detected in breast carcinoma tissue and mammary gland, whereas only marginal expression is found in all other tested tissues. {ECO:0000269|PubMed:15059886}.",COFACTOR: Name=heme; Xref=ChEBI:CHEBI:30413; Evidence={ECO:0000250|UniProtKB:Q02928}; ,"FUNCTION: A cytochrome P450 monooxygenase that catalyzes the in-chain oxidation of fatty acids (PubMed:19090726, PubMed:29018033). Catalyzes the hydroxylation of carbon-hydrogen bonds. Hydroxylates lauric and myristic acids predominantly at the omega-4 and omega-2 positions, respectively (PubMed:19090726, PubMed:29018033). Catalyzes the epoxidation of double bonds of polyunsaturated fatty acids (PUFA). Displays an absolute stereoselectivity in the epoxidation of arachidonic acid producing the 14(S),15(R)-epoxyeicosatrienoic acid (EET) enantiomer (PubMed:29018033). Mechanistically, uses molecular oxygen inserting one oxygen atom into a substrate, and reducing the second into a water molecule, with two electrons provided by NADPH via cytochrome P450 reductase (CPR; NADPH-ferrihemoprotein reductase) (PubMed:19090726, PubMed:29018033). {ECO:0000269|PubMed:19090726, ECO:0000269|PubMed:29018033}.",SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:15059886}; Single-pass type II membrane protein {ECO:0000269|PubMed:15059886}. Microsome membrane {ECO:0000269|PubMed:15059886}; Single-pass type II membrane protein {ECO:0000269|PubMed:15059886}.,
P20853,CP2A7_HUMAN,Cytochrome P450 2A7 (EC 1.14.14.1) (CYPIIA7) (Cytochrome P450 IIA4),CYP2A7,Homo sapiens (Human),494,"56,425",,COFACTOR: Name=heme; Xref=ChEBI:CHEBI:30413; Evidence={ECO:0000250}; ,"FUNCTION: Cytochromes P450 are a group of heme-thiolate monooxygenases. In liver microsomes, this enzyme is involved in an NADPH-dependent electron transport pathway. It oxidizes a variety of structurally unrelated compounds, including steroids, fatty acids, and xenobiotics.",SUBCELLULAR LOCATION: Endoplasmic reticulum membrane; Peripheral membrane protein. Microsome membrane; Peripheral membrane protein.,
Q8N118,CP4X1_HUMAN,Cytochrome P450 4X1 (EC 1.14.14.-) (CYPIVX1),CYP4X1 UNQ1929/PRO4404,Homo sapiens (Human),509,"58,875","TISSUE SPECIFICITY: Expressed in brain, heart, kidney and skin and, at lower levels, in skeletal muscle and liver (PubMed:16478468, PubMed:18549450). In the brain, high levels are detected in amygdala and lower levels in globus pallidus and cerebellum (PubMed:18549450). In the heart, very high levels in aorta, but very low levels in other heart regions (PubMed:16478468, PubMed:18549450). Also expressed in breast, prostate and colon (PubMed:18549450). {ECO:0000269|PubMed:16478468, ECO:0000269|PubMed:18549450}.",COFACTOR: Name=heme; Xref=ChEBI:CHEBI:30413; Evidence={ECO:0000250|UniProtKB:P51869}; ,"FUNCTION: A cytochrome P450 monooxygenase that selectively catalyzes the epoxidation of the last double bond of the arachidonoyl moiety of anandamide, potentially modulating endocannabinoid signaling. Has no hydroxylase activity toward various fatty acids, steroids and prostaglandins. Mechanistically, uses molecular oxygen inserting one oxygen atom into a substrate, and reducing the second into a water molecule, with two electrons provided by NADPH via cytochrome P450 reductase (CPR; NADPH-ferrihemoprotein reductase). {ECO:0000269|PubMed:18549450}.",SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000250|UniProtKB:Q6A152}; Single-pass membrane protein {ECO:0000255}. Microsome membrane {ECO:0000250|UniProtKB:Q6A152}; Single-pass membrane protein {ECO:0000255}.,
Q6ZSU1,C2G1P_HUMAN,Putative inactive cytochrome P450 2G1 (Cytochrome P450 2G1 pseudogene),CYP2G1P CYP2GP1,Homo sapiens (Human),146,"16,683",,COFACTOR: Name=heme; Xref=ChEBI:CHEBI:30413; Evidence={ECO:0000250}; ,,,
Q6UW02,CP20A_HUMAN,Cytochrome P450 20A1 (EC 1.14.-.-),CYP20A1 UNQ667/PRO1301,Homo sapiens (Human),462,"52,432",,COFACTOR: Name=heme; Xref=ChEBI:CHEBI:30413; Evidence={ECO:0000250}; ,,SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass membrane protein {ECO:0000305}.,
Q8N1L4,CP4Z2_HUMAN,Putative inactive cytochrome P450 family member 4Z2,CYP4Z2P,Homo sapiens (Human),340,"40,159",TISSUE SPECIFICITY: Detected at low levels in mammary gland and mammary carcinoma. {ECO:0000269|PubMed:15059886}.,COFACTOR: Name=heme; Xref=ChEBI:CHEBI:30413; Evidence={ECO:0000250}; ,,SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass type II membrane protein {ECO:0000305}.,
Q9H0H9,C4F30_HUMAN,Putative cytochrome P450 family member 4F30,CYP4F30P C2orf14,Homo sapiens (Human),118,"12,413",,,,,
